cod_ibge,nome_municipio,drs,rgi_codigo,rgi_nome,lat,lon
3508108,Buritama,II - Araçatuba,3506,Araçatuba,-21.049103504517458,-50.200279694317146
3508207,Buritizal,VIII - Franca,3508,Ribeirão Preto,-20.209321221755534,-47.692957125351676
3508306,Cabrália Paulista,VI - Bauru,3503,Bauru,-22.489421574270093,-49.372999186309144
3508405,Cabreúva,VII - Campinas,3510,Campinas,-23.30126313500058,-47.08027925759169
3508504,Caçapava,XVII - Taubaté,3511,São José dos Campos,-23.10374174073253,-45.713341266467665
3508603,Cachoeira Paulista,XVII - Taubaté,3511,São José dos Campos,-22.702314111166952,-44.99166683571626
3508702,Caconde,XIV - São João da Boa Vista,3510,Campinas,-21.539513884242282,-46.617103228449906
3508801,Cafelândia,VI - Bauru,3503,Bauru,-21.731182151662843,-49.54877378796082
3508900,Caiabu,XI - Presidente Prudente,3505,Presidente Prudente,-21.949841972649924,-51.22390151514732
3509007,Caieiras,I - Grande São Paulo,3501,São Paulo,-23.375904397361996,-46.74520943330649
3509106,Caiuá,XI - Presidente Prudente,3505,Presidente Prudente,-21.80196546520546,-51.98684533422759
3509205,Cajamar,I - Grande São Paulo,3501,São Paulo,-23.35145270988556,-46.87201341207365
3509254,Cajati,XII - Registro,3502,Sorocaba,-24.77197906974322,-48.194981323613206
3509304,Cajobi,V - Barretos,3508,Ribeirão Preto,-20.873693083376235,-48.83879615507089
3509403,Cajuru,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.275947732503774,-47.310297860506545
3509452,Campina Do Monte Alegre,XVI - Sorocaba,3502,Sorocaba,-23.60675846519474,-48.44192557944512
3509502,Campinas,VII - Campinas,3510,Campinas,-22.883749173022473,-47.04384778653145
3509601,Campo Limpo Paulista,VII - Campinas,3510,Campinas,-23.217943080277355,-46.760090907360265
3509700,Campos Do Jordão,XVII - Taubaté,3511,São José dos Campos,-22.70159880966985,-45.53299197648427
